"","Kingdom","King.conf","Phylum","Phy.conf","Class","Class.conf","Order","Order.conf","family","fam.conf","genus","gen.conf"
"134","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"135","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Mediterraneibacter","70"
"136","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Peptostreptococcaceae","100","Clostridioides","100"
"137","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","98","Paenibacillaceae_1","95","Paenibacillus","95"
"138","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"139","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"140","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","91"
"141","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","97","Clostridiales_unclassified","97"
"142","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Muribaculaceae","100","Muribaculum","100"
"143","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Oscillibacter","100"
"144","Bacteria","100","Actinobacteria","100","Coriobacteriia","100","Eggerthellales","100","Eggerthellaceae","100","Adlercreutzia","100"
"145","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","97","Clostridiales_unclassified","97"
"146","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","96"
"147","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"148","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","100","Ihubacter","100"
"149","Bacteria","100","Actinobacteria","100","Coriobacteriia","100","Coriobacteriales","100","Coriobacteriaceae","100","Collinsella","100"
"150","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Anaerostipes","100"
"151","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"152","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"153","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"154","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"155","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"156","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcus","100"
"157","Bacteria","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria","100","Bacteria_unclassified","100"
"158","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","98","Lachnospiraceae_unclassified","98"
"159","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"160","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Coprococcus","100"
"161","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"162","Bacteria","100","Verrucomicrobia","100","Verrucomicrobiae","100","Verrucomicrobiales","100","Akkermansiaceae","100","Akkermansia","100"
"163","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"164","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","77","Clostridiales_unclassified","77"
"165","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"166","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Rikenellaceae","100","Alistipes","100"
"167","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Oscillibacter","98"
"168","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Paenibacillaceae_1","99","Paenibacillus","95"
"169","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Neglecta","98"
"170","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Negativibacillus","100"
"171","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"172","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","80"
"173","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Eubacteriaceae","100","Anaerofustis","100"
"175","Bacteria","100","Proteobacteria","100","Gammaproteobacteria","100","Enterobacterales","100","Enterobacteriaceae","100","Escherichia/Shigella","100"
"176","Bacteria","100","Actinobacteria","100","Actinobacteria","100","Micrococcales","100","Micrococcaceae","100","Pseudarthrobacter","100"
"177","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"178","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"179","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"180","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"181","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroidaceae_unclassified","69"
"182","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","100","Clostridiales_unclassified","100"
"183","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","99"
"185","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"187","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Harryflintia","100"
"188","Bacteria","100","Lentisphaerae","100","Lentisphaeria","100","Victivallales","100","Victivallaceae","100","Victivallis","100"
"189","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Anaerobutyricum","100"
