"","Otu001 Enterobacteriaceae","Otu002 Enterococcaceae","Otu003 Porphyromonadaceae","Otu004 Desulfovibrionaceae","Otu005 Akkermansiaceae","Otu006 Bacteroidaceae","Otu007 Porphyromonadaceae","Otu008 Acidaminococcaceae","Otu009 Bacteroidaceae","Otu010 Acidaminococcaceae","Otu011 Sutterellaceae","Otu012 Bacteroidaceae","Otu013 Rikenellaceae","Otu014 Bacteroidaceae","Otu015 Bacteroidaceae","Otu016 Lachnospiraceae","Otu017 Sutterellaceae","Otu018 Bacteroidaceae","Otu019 Porphyromonadaceae","Otu020 Bacteroidaceae","Otu021 Lachnospiraceae","Otu022 Lachnospiraceae","Otu023 Lachnospiraceae","Otu024 Sutterellaceae","Otu025 Lachnospiraceae","Otu026 Odoribacteraceae","Otu027 Sutterellaceae","Otu028 Bacteroidaceae","Otu029 Erysipelotrichaceae","Otu030 Lachnospiraceae","Otu031 Bacillales","Otu032 Lachnospiraceae","Otu033 Erysipelotrichaceae","Otu034 Rikenellaceae","Otu035 Lachnospiraceae","Otu036 Ruminococcaceae","Otu037 Lachnospiraceae","Otu038 Paenibacillaceae_1","Otu039 Clostridiaceae","Otu040 Odoribacteraceae","Otu041 Odoribacteraceae","Otu042 Staphylococcaceae","Otu043 Firmicutes","Otu044 Enterobacteriaceae","Otu045 Rikenellaceae","Otu046 Bacillaceae_1","Otu047 Odoribacteraceae","Otu048 Lachnospiraceae","Otu049 Desulfovibrionaceae","Otu050 Lachnospiraceae","Otu051 Erysipelotrichaceae","Otu052 Erysipelatoclostridiaceae","Otu053 Listeriaceae","Otu054 Ruminococcaceae","Otu055 Lachnospiraceae","Otu056 Bacteroidaceae","Otu057 Ruminococcaceae","Otu058 Clostridiaceae","Otu059 Lactobacillaceae","Otu060 Eubacteriaceae","Otu061 Lachnospiraceae","Otu062 Firmicutes","Otu063 Ruminococcaceae","Otu064 Lachnospiraceae","Otu065 Paenibacillaceae_1","Otu066 Lachnospiraceae","Otu067 Lachnospiraceae","Otu068 Lachnospiraceae","Otu069 Pseudomonadaceae","Otu070 Lachnospiraceae","Otu071 Odoribacteraceae","Otu072 Ruminococcaceae","Otu073 Ruminococcaceae","Otu074 Prevotellaceae","Otu075 Lachnospiraceae","Otu076 Paenibacillaceae_1","Otu077 Erysipelotrichaceae","Otu078 Bacillaceae_1","Otu079 Ruminococcaceae","Otu080 Lachnospiraceae","Otu081 Sutterellaceae","Otu082 Lachnospiraceae","Otu083 Ruminococcaceae","Otu084 Lachnospiraceae","Otu085 Lachnospiraceae","Otu086 Lachnospiraceae","Otu087 Lachnospiraceae","Otu088 Lachnospiraceae","Otu089 Clostridiaceae","Otu090 Ruminococcaceae","Otu091 Lachnospiraceae","Otu092 Bacteria","Otu093 Erysipelotrichaceae","Otu094 Bacteroidaceae","Otu095 Ruminococcaceae","Otu096 Rikenellaceae","Otu097 Ruminococcaceae","Otu098 Ruminococcaceae","Otu099 Bacillaceae_2","Otu100 Ruminococcaceae","Otu101 Lachnospiraceae","Otu102 Clostridiaceae","Otu103 Paenibacillaceae_1","Otu104 Lachnospiraceae","Otu105 Eggerthellaceae","Otu106 Ruminococcaceae","Otu107 Lachnospiraceae","Otu108 Lachnospiraceae","Otu109 Ruminococcaceae","Otu110 Lachnospiraceae","Otu111 Lachnospiraceae","Otu112 Lachnospiraceae","Otu113 Erysipelotrichaceae","Otu114 Clostridiaceae","Otu115 Clostridiaceae","Otu116 Odoribacteraceae","Otu117 Bacillales","Otu118 Ruminococcaceae","Otu119 Ruminococcaceae","Otu120 Lachnospiraceae","Otu121 Erysipelotrichaceae","Otu122 Clostridiaceae","Otu123 Erysipelotrichaceae","Otu124 Barnesiellaceae","Otu125 Lachnospiraceae","Otu126 Paenibacillaceae_1","Otu127 Lachnospiraceae","Otu128 Bacteroidaceae","Otu129 Paenibacillaceae_1","Otu130 Lachnospiraceae","Otu131 Lachnospiraceae","Otu132 Barnesiellaceae","Otu133 Prevotellaceae","Otu134 Ruminococcaceae","Otu135 Lachnospiraceae","Otu136 Peptostreptococcaceae","Otu137 Paenibacillaceae_1","Otu138 Ruminococcaceae","Otu139 Ruminococcaceae","Otu140 Ruminococcaceae","Otu141 Clostridiaceae","Otu142 Muribaculaceae","Otu143 Ruminococcaceae","Otu144 Eggerthellaceae","Otu145 Clostridiaceae","Otu146 Lachnospiraceae","Otu147 Lachnospiraceae","Otu148 Clostridiaceae","Otu149 Coriobacteriaceae","Otu150 Lachnospiraceae","Otu151 Ruminococcaceae","Otu152 Lachnospiraceae","Otu153 Bacteroidaceae","Otu154 Lachnospiraceae","Otu155 Ruminococcaceae","Otu156 Ruminococcaceae","Otu157 Bacteria","Otu158 Lachnospiraceae","Otu159 Lachnospiraceae","Otu160 Lachnospiraceae","Otu161 Ruminococcaceae","Otu162 Akkermansiaceae","Otu163 Ruminococcaceae","Otu164 Clostridiaceae","Otu165 Lachnospiraceae","Otu166 Rikenellaceae","Otu167 Ruminococcaceae","Otu168 Paenibacillaceae_1","Otu169 Ruminococcaceae","Otu170 Ruminococcaceae","Otu171 Lachnospiraceae","Otu172 Lachnospiraceae","Otu173 Eubacteriaceae","Otu175 Enterobacteriaceae","Otu176 Micrococcaceae","Otu177 Bacteroidaceae","Otu178 Lachnospiraceae","Otu179 Lachnospiraceae","Otu180 Lachnospiraceae","Otu181 Bacteroidaceae","Otu182 Clostridiaceae","Otu183 Lachnospiraceae","Otu185 Lachnospiraceae","Otu187 Ruminococcaceae","Otu188 Victivallaceae","Otu189 Lachnospiraceae","Otu190 Ruminococcaceae","Otu191 Oxalobacteraceae","Otu192 Ruminococcaceae","Otu193 Lachnospiraceae","Otu194 Firmicutes","Otu195 Ruminococcaceae","Otu197 Bacteroidaceae","Otu198 Bacteroidaceae","Otu200 Clostridiaceae","Otu201 Erysipelotrichaceae","Otu203 Ruminococcaceae","Otu204 Eggerthellaceae","Otu206 Firmicutes","Otu207 Ruminococcaceae","Otu209 Erysipelotrichaceae","Otu210 Bacteroidaceae","Otu211 Lachnospiraceae","Otu216 Ruminococcaceae","Otu218 Lachnospiraceae","Otu221 Bacteroidaceae","Otu222 Erysipelotrichaceae","Otu223 Erysipelotrichaceae","Otu224 Lachnospiraceae","Otu227 Ruminococcaceae","Otu229 Bacteroidaceae","Otu237 Bacteroidaceae","Otu240 Lachnospiraceae","Otu241 Ruminococcaceae","Otu243 Lachnospiraceae","Otu251 Bacteroidales","Otu273 Lachnospiraceae","Otu276 Ruminococcaceae"
"H_1L_ABX2",406,414,0,0,0,0,0,0,0,0,0,0,0,0,0,3,92,0,0,0,0,0,0,1,0,0,0,0,1,0,51,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H_1R_ABX2",302,373,0,0,0,0,0,0,0,0,1,0,0,0,0,3,227,0,0,0,0,1,0,1,0,0,0,0,36,0,20,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H_NP_ABX2",346,343,0,0,0,1,0,0,0,0,0,0,0,0,0,0,145,0,0,0,1,0,0,0,0,0,0,0,11,0,121,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I_1L_ABX2",71,0,257,99,0,83,47,0,58,0,45,0,5,0,112,1,9,16,17,0,13,0,0,0,13,0,0,0,0,34,0,18,3,0,0,0,0,0,2,8,0,0,0,0,0,0,11,0,14,0,28,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I_1R_ABX2",167,0,253,102,0,30,49,0,49,0,11,0,3,7,67,6,3,61,18,0,18,0,0,2,1,0,0,0,2,4,0,6,13,0,1,0,0,0,8,2,0,0,0,0,0,0,11,0,9,0,72,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I_NP_ABX2",62,0,233,93,0,110,41,0,49,0,26,0,31,2,21,2,3,79,10,0,13,0,0,0,19,0,0,0,2,52,0,37,31,0,0,0,0,0,5,4,0,0,0,0,0,0,12,0,5,0,13,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J_1L_ABX2",200,0,178,48,0,14,65,0,194,0,4,0,123,28,0,1,0,1,59,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,28,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J_NP_ABX2",209,0,199,45,0,13,75,0,146,0,0,0,115,8,7,0,7,56,48,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,17,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_1L_ABX10",0,33,0,82,0,25,52,0,63,0,0,79,65,3,0,0,0,1,30,67,0,30,1,2,4,10,8,69,0,15,0,12,12,15,0,1,30,0,0,0,2,0,5,0,1,0,0,0,0,0,0,3,0,0,10,20,4,0,0,1,1,0,31,0,0,0,25,0,0,1,9,3,4,0,40,0,4,0,2,0,0,0,0,35,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,22,0,0,0,1,0,0,1,6,0,0,3,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A_1R_ABX10",0,36,0,60,0,2,40,0,38,0,0,78,40,1,0,0,0,3,47,75,0,26,8,0,10,18,5,68,0,8,0,2,35,11,0,5,29,0,0,0,5,0,7,0,2,0,0,0,0,0,0,4,0,0,22,18,10,0,0,2,0,0,39,0,0,0,37,0,0,3,2,2,1,0,45,0,0,0,4,1,0,0,2,19,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,19,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,14,6,0,0,0,0,0,2,7,0,0,2,1,0,0,3,0,0,0,7,0,1,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"A_NP_ABX10",0,91,0,54,0,143,21,0,69,0,0,76,10,4,0,0,0,4,9,13,0,31,12,0,12,16,13,48,0,16,0,9,25,8,0,2,25,0,0,1,2,0,7,0,2,0,0,0,0,0,0,4,0,0,25,14,6,0,0,4,3,0,25,0,0,0,39,0,0,7,14,1,0,0,31,0,2,0,0,1,0,0,0,8,0,0,0,1,1,0,3,0,1,0,0,1,0,0,0,1,17,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,8,2,0,0,0,1,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_1L_ABX10",0,0,0,95,308,32,69,0,24,0,0,109,7,9,0,0,0,1,4,22,0,0,54,5,47,0,18,51,0,11,0,0,6,32,26,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,15,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_1R_ABX10",0,0,0,104,316,37,79,0,25,1,0,90,57,9,2,0,0,2,5,27,0,0,32,3,47,0,22,47,0,12,0,0,7,23,10,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_NP_ABX10",0,0,0,78,323,114,44,0,20,0,0,56,12,16,0,0,0,7,5,34,0,0,45,8,27,3,23,55,0,13,0,0,6,24,14,0,0,0,0,0,14,0,0,0,9,0,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_1L_ABX10",0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,50,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_1R_ABX10",0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,86,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_NP_ABX10",0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,63,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_1L_ABX10",0,0,2,217,439,0,1,0,3,311,0,0,0,3,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_1R_ABX10",0,0,0,196,453,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_NP_ABX10",0,1,0,294,161,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_1L_ABX10",0,4,0,92,181,0,95,0,7,0,0,12,190,32,0,0,0,0,138,172,0,0,0,0,0,10,0,15,0,0,0,0,0,14,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_1R_ABX10",0,3,0,79,215,0,74,0,5,0,0,49,168,19,0,0,0,0,106,171,0,0,0,3,0,11,0,35,0,0,0,0,0,21,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_2R_ABX10",0,0,0,101,238,0,80,0,19,0,0,1,186,29,0,0,0,0,102,194,0,0,0,0,0,11,0,7,0,0,0,0,0,8,0,0,0,0,0,2,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
